Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
29,60,Igualeja,662,422,5,2
29,61,Istán,1.018,713,34,8
29,62,Iznate,648,529,10,7
29,63,Jimera de Líbar,299,220,2,3
29,64,Jubrique,436,287,22,5
29,65,Júzcar,189,123,1,1
29,66,Macharaviaya,340,200,0,0
29,67,Málaga,428.620,243.951,2.859,3.392
29,68,Manilva,7.601,3.878,93,38
29,69,Marbella,86.599,43.706,770,636
29,70,Mijas,42.647,22.654,312,304
29,71,Moclinejo,968,574,13,8
29,72,Mollina,3.253,2.114,75,28
29,73,Monda,1.633,925,19,16
29,903,Montecorto,498,274,2,7
29,74,Montejaque,781,492,5,5
29,75,Nerja,12.917,7.096,94,89
29,76,Ojén,2.290,1.257,38,27
29,77,Parauta,205,127,1,39
29,79,Periana,2.334,1.495,50,20
29,80,Pizarra,6.847,4.081,76,58
29,81,Pujerra,244,168,3,6
29,82,Rincón de la Victoria,33.647,20.109,263,267
29,83,Riogordo,2.040,1.334,41,13
29,84,Ronda,27.188,15.404,394,279
29,85,Salares,139,90,2,1
29,86,Sayalonga,768,380,4,7
29,87,Sedella,362,232,5,5
29,904,Serrato,419,321,9,0
29,88,Sierra de Yeguas,2.700,1.580,120,16
29,89,Teba,3.177,2.053,84,28
29,90,Tolox,1.653,997,14,10
29,901,Torremolinos,44.380,24.666,286,321
29,91,Torrox,9.392,5.503,118,81
29,92,Totalán,570,335,12,5
29,93,Valle de Abdalajís,2.159,1.299,26,15
29,94,Vélez-Málaga,59.020,32.955,512,471
29,95,Villanueva de Algaidas,3.313,2.063,122,38
29,902,Villanueva de la Concepción,2.586,1.249,38,11
29,98,Villanueva de Tapia,1.228,781,23,11
29,96,Villanueva del Rosario,2.736,1.595,38,23
29,97,Villanueva del Trabuco,4.161,2.509,77,52
29,99,Viñuela,961,644,19,18
29,100,Yunquera,2.358,1.380,35,27
29,990,Residentes Ausentes Málaga,52.760,1.471,3,13
41,1,Aguadulce,1.567,1.023,33,15
41,2,Alanís,1.432,823,29,8
41,3,Albaida del Aljarafe,2.359,1.522,43,26
41,4,Alcalá de Guadaíra,57.342,32.364,918,742
41,5,Alcalá del Río,9.218,5.691,144,76
41,6,Alcolea del Río,2.730,1.465,47,13
41,8,Algámitas,1.027,679,33,12
41,9,Almadén de la Plata,1.158,682,11,5
41,10,Almensilla,4.538,2.591,113,42
41,11,Arahal,15.398,8.902,403,232
41,12,Aznalcázar,3.344,1.777,67,23
41,13,Aznalcóllar,4.813,2.509,81,44
41,14,Badolatosa,2.477,1.632,62,16
41,15,Benacazón,5.380,3.044,123,58
41,16,Bollullos de la Mitación,7.695,4.718,117,74
41,17,Bormujos,15.632,9.617,206,169
41,18,Brenes,9.398,5.454,130,84
41,19,Burguillos,4.833,2.741,75,35
41,21,Camas,21.350,12.135,336,253
41,23,Cantillana,7.981,4.744,110,78
41,901,Cañada Rosal,2.695,1.846,117,64
41,24,Carmona,22.652,12.189,331,210
41,25,Carrión de los Céspedes,1.993,1.264,58,16
41,26,Casariche,4.302,3.142,112,23
41,27,Castilblanco de los Arroyos,3.912,2.245,85,28
41,28,Castilleja de Guzmán,2.060,1.471,22,22
41,29,Castilleja de la Cuesta,13.397,8.381,174,122
41,30,Castilleja del Campo,490,358,20,4
41,32,Cazalla de la Sierra,3.875,2.416,87,27
41,33,Constantina,4.958,2.873,77,29
41,34,Coria del Río,23.355,12.457,307,270
41,35,Coripe,1.065,679,22,19
41,38,Dos Hermanas,101.729,58.518,1.230,1.170
41,39,Écija,31.517,19.133,439,315
41,31,El Castillo de las Guardas,1.204,631,25,8
41,36,El Coronil,3.927,2.181,102,51
41,903,El Cuervo de Sevilla,6.740,3.884,120,65
41,43,El Garrobo,666,373,18,3
41,57,El Madroño,252,150,2,2
41,73,El Pedroso,1.683,921,35,7
41,80,El Real de la Jara,1.236,771,24,10
41,83,El Ronquillo,1.111,696,11,7
41,84,El Rubio,2.810,1.941,125,17
41,90,El Saucejo,3.503,2.307,100,22
41,102,El Viso del Alcor,14.693,8.950,383,210
41,40,Espartinas,11.078,7.107,134,115
41,41,Estepa,9.729,6.496,302,77
41,42,Fuentes de Andalucía,5.836,3.797,80,85
41,44,Gelves,7.616,4.770,87,70
41,45,Gerena,5.845,3.308,132,69
41,46,Gilena,3.006,1.995,64,19
41,47,Gines,10.380,6.860,135,106
41,48,Guadalcanal,2.182,1.212,71,23
41,49,Guillena,9.455,6.195,226,111
41,50,Herrera,5.177,3.532,108,50
41,51,Huévar del Aljarafe,2.278,1.395,47,4
41,902,Isla Mayor,4.604,2.159,43,44
41,7,La Algaba,12.361,6.698,320,127
41,22,La Campana,4.244,2.286,61,43
41,56,La Luisiana,3.700,2.549,79,53
41,77,La Puebla de Cazalla,8.607,4.919,184,61
41,78,La Puebla de los Infantes,2.445,1.550,45,19
41,79,La Puebla del Río,9.256,5.714,149,125
41,81,La Rinconada,29.636,17.839,466,365
41,82,La Roda de Andalucía,3.374,2.408,78,26
41,52,Lantejuela,3.022,1.722,99,11
41,20,Las Cabezas de San Juan,12.926,6.474,165,131
41,66,Las Navas de la Concepción,1.306,826,40,15
41,53,Lebrija,21.492,13.462,477,233
41,54,Lora de Estepa,714,501,17,3
41,55,Lora del Río,14.834,8.392,194,118
41,37,Los Corrales,3.205,2.064,87,27
41,63,Los Molares,2.692,1.516,58,38
41,69,Los Palacios y Villafranca,29.481,17.399,464,503
41,58,Mairena del Alcor,17.814,10.886,411,189
41,59,Mairena del Aljarafe,34.999,22.694,437,397
41,60,Marchena,15.083,8.806,257,152
41,61,Marinaleda,2.152,1.493,49,5
41,62,Martín de la Jara,2.182,1.434,53,13
41,64,Montellano,5.596,2.924,107,53
41,65,Morón de la Frontera,22.538,12.164,265,256
41,67,Olivares,7.185,4.253,112,58
41,68,Osuna,13.875,8.246,221,113
41,70,Palomares del Río,6.317,3.914,74,77
41,71,Paradas,5.608,2.925,121,48
41,72,Pedrera,4.029,2.630,62,32
41,74,Peñaflor,2.994,1.956,56,22
41,75,Pilas,10.266,5.872,166,79
41,76,Pruna,2.149,966,13,23
41,85,Salteras,4.150,2.866,110,28
41,86,San Juan de Aznalfarache,16.105,8.544,149,159
41,88,San Nicolás del Puerto,509,303,10,2
41,87,Sanlúcar la Mayor,10.417,6.041,244,70
41,89,Santiponce,6.558,3.903,113,61
41,91,Sevilla,539.535,339.226,5.661,5.675
41,92,Tocina,7.685,4.438,130,79
41,93,Tomares,18.926,12.964,155,204
41,94,Umbrete,6.423,3.930,127,53
41,95,Utrera,41.570,23.026,488,571
41,96,Valencina de la Concepción,6.109,4.125,92,58
41,97,Villamanrique de la Condesa,3.147,1.940,60,29
41,100,Villanueva de San Juan,972,623,44,4
41,98,Villanueva del Ariscal,5.122,3.258,72,41
41,99,Villanueva del Río y Minas,3.968,2.005,37,26
41,101,Villaverde del Río,5.966,3.605,91,58
41,990,Residentes Ausentes Sevilla,34.050,1.310,9,5
