Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
14,1,Adamuz,3.448,2.320,60,28
14,2,Aguilar de la Frontera,10.876,6.744,203,100
14,3,Alcaracejos,1.254,873,26,2
14,4,Almedinilla,1.993,1.271,23,13
14,5,Almodóvar del Río,6.323,3.307,93,66
14,6,Añora,1.314,1.026,35,6
14,7,Baena,15.033,9.042,277,120
14,8,Belalcázar,2.781,1.608,31,19
14,9,Belmez,2.661,1.428,23,22
14,10,Benamejí,4.016,2.481,59,27
14,12,Bujalance,6.109,3.602,119,47
14,13,Cabra,16.644,10.564,408,211
14,14,Cañete de las Torres,2.507,1.847,38,15
14,15,Carcabuey,2.066,1.327,35,10
14,16,Cardeña,1.286,815,9,4
14,19,Castro del Río,6.423,4.289,109,88
14,20,Conquista,354,194,2,2
14,21,Córdoba,258.826,157.964,2.503,2.842
14,22,Doña Mencía,3.925,2.554,52,26
14,23,Dos Torres,2.012,1.555,39,15
14,18,El Carpio,3.649,2.344,71,37
14,34,El Guijo,305,226,8,2
14,74,El Viso,2.239,1.584,49,11
14,24,Encinas Reales,1.861,1.318,64,8
14,25,Espejo,2.863,2.225,75,16
14,26,Espiel,2.027,1.153,29,20
14,27,Fernán-Núñez,7.861,5.043,172,115
14,28,Fuente la Lancha,295,217,1,3
14,29,Fuente Obejuna,4.055,2.525,64,38
14,30,Fuente Palmera,8.679,5.774,118,59
14,31,Fuente-Tójar,560,394,17,0
14,33,Guadalcázar,1.261,771,17,13
14,35,Hinojosa del Duque,5.866,3.614,64,57
14,36,Hornachuelos,3.696,2.418,84,63
14,37,Iznájar,3.217,2.028,79,32
14,17,La Carlota,10.941,6.841,165,79
14,32,La Granjuela,388,293,1,5
14,57,La Rambla,6.131,4.283,120,76
14,65,La Victoria,1.819,1.236,27,19
14,11,Los Blázquez,570,403,1,5
14,38,Lucena,32.630,19.443,433,259
14,39,Luque,2.595,1.752,53,13
14,40,Montalbán de Córdoba,3.739,2.539,63,46
14,41,Montemayor,3.133,2.050,114,42
14,42,Montilla,18.769,12.586,323,249
14,43,Montoro,7.438,4.510,126,107
14,44,Monturque,1.621,1.056,29,11
14,45,Moriles,3.007,2.178,51,23
14,46,Nueva Carteya,4.434,2.879,131,37
14,47,Obejo,1.643,984,23,12
14,48,Palenciana,1.177,783,34,6
14,49,Palma del Río,16.321,10.328,312,192
14,50,Pedro Abad,2.350,1.589,39,19
14,51,Pedroche,1.341,893,24,6
