,Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
133,11,28,Puerto Real,32.722,18.230,285,387
134,11,29,Puerto Serrano,5.436,2.144,51,44
135,11,30,Rota,22.880,12.621,239,210
136,11,31,San Fernando,76.241,41.012,534,693
137,11,902,San José del Valle,3.633,1.706,32,28
138,11,33,San Roque,21.505,11.224,259,249
139,11,32,Sanlúcar de Barrameda,54.257,25.402,286,455
140,11,34,Setenil de las Bodegas,2.296,1.364,36,9
141,11,35,Tarifa,13.689,7.275,135,143
142,11,36,Torre Alháquime,691,415,4,10
143,11,37,Trebujena,5.635,3.950,138,35
144,11,38,Ubrique,13.579,9.172,251,133
145,11,39,Vejer de la Frontera,9.975,5.730,100,113
146,11,40,Villaluenga del Rosario,388,310,9,4
147,11,41,Villamartín,9.835,5.507,151,95
148,11,42,Zahara,1.158,644,23,9
149,11,990,Residentes Ausentes Cádiz,28.305,876,2,7
151,41,1,Aguadulce,1.567,1.023,33,15
152,41,2,Alanís,1.432,823,29,8
153,41,3,Albaida del Aljarafe,2.359,1.522,43,26
154,41,4,Alcalá de Guadaíra,57.342,32.364,918,742
155,41,5,Alcalá del Río,9.218,5.691,144,76
156,41,6,Alcolea del Río,2.730,1.465,47,13
157,41,8,Algámitas,1.027,679,33,12
158,41,9,Almadén de la Plata,1.158,682,11,5
159,41,10,Almensilla,4.538,2.591,113,42
160,41,11,Arahal,15.398,8.902,403,232
161,41,12,Aznalcázar,3.344,1.777,67,23
162,41,13,Aznalcóllar,4.813,2.509,81,44
163,41,14,Badolatosa,2.477,1.632,62,16
164,41,15,Benacazón,5.380,3.044,123,58
165,41,16,Bollullos de la Mitación,7.695,4.718,117,74
166,41,17,Bormujos,15.632,9.617,206,169
167,41,18,Brenes,9.398,5.454,130,84
168,41,19,Burguillos,4.833,2.741,75,35
169,41,21,Camas,21.350,12.135,336,253
170,41,23,Cantillana,7.981,4.744,110,78
171,41,901,Cañada Rosal,2.695,1.846,117,64
172,41,24,Carmona,22.652,12.189,331,210
173,41,25,Carrión de los Céspedes,1.993,1.264,58,16
174,41,26,Casariche,4.302,3.142,112,23
175,41,27,Castilblanco de los Arroyos,3.912,2.245,85,28
176,41,28,Castilleja de Guzmán,2.060,1.471,22,22
177,41,29,Castilleja de la Cuesta,13.397,8.381,174,122
178,41,30,Castilleja del Campo,490,358,20,4
179,41,32,Cazalla de la Sierra,3.875,2.416,87,27
180,41,33,Constantina,4.958,2.873,77,29
181,41,34,Coria del Río,23.355,12.457,307,270
182,41,35,Coripe,1.065,679,22,19
183,41,38,Dos Hermanas,101.729,58.518,1.230,1.170
184,41,39,Écija,31.517,19.133,439,315
185,41,31,El Castillo de las Guardas,1.204,631,25,8
186,41,36,El Coronil,3.927,2.181,102,51
187,41,903,El Cuervo de Sevilla,6.740,3.884,120,65
188,41,43,El Garrobo,666,373,18,3
189,41,57,El Madroño,252,150,2,2
190,41,73,El Pedroso,1.683,921,35,7
191,41,80,El Real de la Jara,1.236,771,24,10
192,41,83,El Ronquillo,1.111,696,11,7
193,41,84,El Rubio,2.810,1.941,125,17
194,41,90,El Saucejo,3.503,2.307,100,22
195,41,102,El Viso del Alcor,14.693,8.950,383,210
196,41,40,Espartinas,11.078,7.107,134,115
197,41,41,Estepa,9.729,6.496,302,77
198,41,42,Fuentes de Andalucía,5.836,3.797,80,85
199,41,44,Gelves,7.616,4.770,87,70
200,41,45,Gerena,5.845,3.308,132,69
201,41,46,Gilena,3.006,1.995,64,19
202,41,47,Gines,10.380,6.860,135,106
203,41,48,Guadalcanal,2.182,1.212,71,23
204,41,49,Guillena,9.455,6.195,226,111
205,41,50,Herrera,5.177,3.532,108,50
206,41,51,Huévar del Aljarafe,2.278,1.395,47,4
207,41,902,Isla Mayor,4.604,2.159,43,44
208,41,7,La Algaba,12.361,6.698,320,127
209,41,22,La Campana,4.244,2.286,61,43
210,41,56,La Luisiana,3.700,2.549,79,53
211,41,77,La Puebla de Cazalla,8.607,4.919,184,61
212,41,78,La Puebla de los Infantes,2.445,1.550,45,19
213,41,79,La Puebla del Río,9.256,5.714,149,125
214,41,81,La Rinconada,29.636,17.839,466,365
215,41,82,La Roda de Andalucía,3.374,2.408,78,26
216,41,52,Lantejuela,3.022,1.722,99,11
