Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;EB;Cs;PACMA;ADELANTE ANDALUCÍA;PSOE-A;AxSÍ;PP;PCPA;FE de las JONS;EQUO-INICIATIVA;VOX;UPYD;PCTE;P.C.O.E.;RECORTES CERO - M+J - GV
14;61;Santa Eufemia;;687;0;687;502;18;4;185;484;480;0;46;1;50;249;0;102;1;0;0;29;0;0;1;1
14;60;Santaella;;4.826;0;4.826;3.121;92;52;1.705;3.029;2.977;4;559;22;411;1.302;13;448;6;3;4;195;2;0;8;0
14;62;Torrecampo;;955;0;955;660;11;1;295;649;648;0;66;2;37;286;1;222;1;0;0;32;0;0;1;0
14;63;Valenzuela;;1.003;0;1.003;655;14;7;348;641;634;1;95;4;23;248;4;182;0;0;1;70;3;0;3;0
14;64;Valsequillo;;300;0;300;207;10;3;93;197;194;0;33;0;4;97;0;54;0;0;0;5;0;0;1;0
14;66;Villa del Río;;5.780;0;5.780;3.411;91;51;2.369;3.320;3.269;7;545;27;820;1.037;11;573;16;3;2;206;2;0;16;4
14;67;Villafranca de Córdoba;;3.866;0;3.866;2.673;62;42;1.193;2.611;2.569;2;368;27;383;832;6;650;4;1;5;281;3;0;6;1
14;68;Villaharta;;534;0;534;356;3;8;178;353;345;1;36;5;55;167;0;57;0;0;0;23;0;0;1;0
14;69;Villanueva de Córdoba;;7.372;0;7.372;4.471;94;43;2.901;4.377;4.334;10;493;13;369;2.069;8;1.079;5;1;8;256;4;0;11;8
14;70;Villanueva del Duque;;1.280;0;1.280;857;14;8;423;843;835;0;98;1;46;304;0;338;2;0;1;39;4;0;0;2
14;71;Villanueva del Rey;;900;0;900;478;15;12;422;463;451;1;69;3;35;192;1;116;1;0;2;27;0;0;4;0
14;72;Villaralto;;1.010;0;1.010;659;13;3;351;646;643;0;93;11;119;303;1;94;0;0;4;16;1;0;1;0
14;73;Villaviciosa de Córdoba;;2.803;0;2.803;1.683;67;32;1.120;1.616;1.584;4;225;5;260;704;7;245;2;0;2;123;1;0;4;2
14;75;Zuheros;;560;0;560;411;9;1;149;402;401;2;56;4;61;203;1;63;0;0;2;7;0;0;1;1
14;990;Residentes Ausentes Córdoba;;17.944;0;17.944;678;2;3;17.266;676;673;4;131;12;175;179;2;89;2;2;17;42;10;0;2;6
Total;;;;647.422;5;647.427;391.902;9.377;6.408;255.525;382.542;376.134;1.144;67.508;5.899;64.279;111.826;1.606;83.838;886;335;1.467;35.147;600;0;978;621
