Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;RISA;Cs;PP;ADELANTE ANDALUCÍA;EQUO-INICIATIVA;PSOE-A;NA;PACMA;CILU-LINARES;VOX;AxSÍ;PCPA;Respeto;UPYD;CILUS;FE de las JONS;RECORTES CERO - M+J - GV
23;46;Ibros;;2.335;0;2.335;1.742;35;8;593;1.707;1.699;4;163;293;183;1;919;1;11;1;105;4;4;2;1;3;1;3
23;48;Iznatoraf;;823;0;823;550;5;2;273;545;543;0;49;198;37;0;156;0;2;0;94;1;1;1;0;2;1;1
23;49;Jabalquinto;;1.745;0;1.745;1.099;38;14;646;1.061;1.047;0;115;138;230;0;501;3;5;9;33;0;3;2;1;6;1;0
23;50;Jaén;;90.502;2;90.504;56.585;965;826;33.919;55.620;54.794;60;11.424;13.836;7.187;270;13.139;64;1.208;68;6.736;97;66;267;112;125;37;98
23;51;Jamilena;;2.736;0;2.736;1.840;35;12;896;1.805;1.793;0;189;458;132;2;817;0;18;3;132;1;0;37;1;2;0;1
23;52;Jimena;;1.111;0;1.111;876;21;5;235;855;850;0;56;234;46;0;489;0;7;1;16;0;0;0;0;0;0;1
23;53;Jódar;;9.464;0;9.464;5.280;68;47;4.184;5.212;5.165;0;394;616;1.676;8;2.231;7;44;1;127;7;35;8;4;5;0;2
23;24;La Carolina;;12.191;1;12.192;8.101;336;95;4.091;7.765;7.670;2;1.108;1.910;971;14;2.894;11;116;16;547;18;12;16;7;6;6;16
23;38;La Guardia de Jaén;;3.718;0;3.718;2.455;51;23;1.263;2.404;2.381;8;442;635;261;7;639;2;38;1;324;2;2;12;2;3;0;3
23;47;La Iruela;;1.597;0;1.597;1.069;9;10;528;1.060;1.050;0;140;232;112;3;479;2;16;2;52;5;0;3;1;2;0;1
23;72;La Puerta de Segura;;1.904;0;1.904;1.257;24;12;647;1.233;1.221;0;165;364;65;3;517;1;5;1;83;2;0;10;2;3;0;0
23;40;Lahiguera;;1.459;0;1.459;1.088;25;2;371;1.063;1.061;0;100;201;304;0;395;1;8;0;34;4;9;2;1;0;0;2
23;54;Larva;;380;0;380;263;7;1;117;256;255;0;21;47;8;1;154;1;1;0;21;0;0;0;0;1;0;0
23;55;Linares;;46.364;1;46.365;27.454;1.458;410;18.911;25.996;25.586;14;5.021;5.474;4.606;57;6.015;41;449;469;2.843;159;58;106;45;174;23;32
23;56;Lopera;;3.050;0;3.050;2.025;85;21;1.025;1.940;1.919;0;271;322;360;2;738;0;14;6;171;1;15;7;1;8;1;2
23;99;Los Villares;;4.792;0;4.792;3.015;88;37;1.777;2.927;2.890;1;379;932;337;1;968;1;37;7;199;3;5;10;2;5;0;3
23;57;Lupión;;736;1;737;540;8;4;197;532;528;1;43;76;154;0;225;0;1;0;24;2;1;1;0;0;0;0
23;58;Mancha Real;;8.797;0;8.797;5.597;110;78;3.200;5.487;5.409;2;778;1.311;672;8;2.074;5;88;6;396;5;8;26;8;7;4;11
23;59;Marmolejo;;5.720;0;5.720;3.922;126;56;1.798;3.796;3.740;0;617;573;303;4;1.957;3;40;1;171;43;8;6;3;6;1;4
23;60;Martos;;19.162;0;19.162;11.791;244;179;7.371;11.547;11.368;6;2.145;2.313;1.047;21;4.130;9;142;14;1.380;44;25;27;21;26;5;13
23;61;Mengíbar;;7.674;0;7.674;4.478;146;51;3.196;4.332;4.281;5;607;1.046;278;7;1.823;0;45;5;440;2;4;11;4;2;0;2
23;62;Montizón;;1.412;0;1.412;1.023;14;8;389;1.009;1.001;0;61;332;39;0;522;0;1;2;40;0;0;4;0;0;0;0
23;63;Navas de San Juan;;3.763;0;3.763;2.354;56;28;1.409;2.298;2.270;0;201;471;284;2;1.016;1;11;5;255;1;3;10;1;5;4;0
23;64;Noalejo;;1.674;0;1.674;1.263;17;7;411;1.246;1.239;1;81;402;65;1;596;0;6;1;84;0;0;1;0;1;0;0
23;65;Orcera;;1.555;0;1.555;981;19;6;574;962;956;0;134;238;53;1;458;2;10;4;44;1;2;3;0;2;1;3
23;66;Peal de Becerro;;4.303;0;4.303;3.135;77;24;1.168;3.058;3.034;3;498;752;222;5;1.327;5;22;7;159;6;2;8;6;7;2;3
23;67;Pegalajar;;2.431;0;2.431;1.604;52;10;827;1.552;1.542;1;152;352;389;1;545;0;7;5;75;2;6;1;1;2;2;1
23;69;Porcuna;;5.291;0;5.291;3.902;119;27;1.389;3.783;3.756;2;1.199;533;318;4;1.368;1;47;8;219;15;9;10;4;10;3;6
23;70;Pozo Alcón;;3.793;0;3.793;1.961;24;9;1.832;1.937;1.928;0;354;563;117;3;668;3;13;6;183;2;1;2;3;8;2;0
23;71;Puente de Génave;;1.717;0;1.717;1.137;21;9;580;1.116;1.107;0;142;342;68;1;418;1;5;0;113;3;1;6;1;5;1;0
23;73;Quesada;;4.403;0;4.403;2.816;48;24;1.587;2.768;2.744;0;317;621;201;4;1.265;0;19;9;265;8;4;6;3;15;2;5
23;74;Rus;;2.963;0;2.963;2.016;30;21;947;1.986;1.965;0;221;517;246;5;830;0;14;2;108;5;2;8;0;5;2;0
23;75;Sabiote;;3.217;0;3.217;2.219;43;26;998;2.176;2.150;3;217;543;216;1;1.004;1;15;3;122;4;4;5;1;7;3;1
23;76;Santa Elena;;772;0;772;582;9;3;190;573;570;0;27;145;34;1;289;2;3;0;65;1;0;0;0;3;0;0
23;77;Santiago de Calatrava;;604;0;604;477;7;1;127;470;469;0;40;111;30;0;248;0;3;3;33;0;0;1;0;0;0;0
23;904;Santiago-Pontones;;2.624;0;2.624;1.377;27;9;1.247;1.350;1.341;3;150;332;104;3;641;2;1;0;93;1;0;4;1;3;1;2
23;79;Santisteban del Puerto;;3.650;0;3.650;2.456;55;35;1.194;2.401;2.366;0;191;725;159;0;1.066;1;5;3;205;5;0;2;0;3;0;1
23;80;Santo Tomé;;1.719;0;1.719;1.125;24;7;594;1.101;1.094;0;96;272;45;1;631;0;5;2;35;1;1;2;1;1;0;1
23;81;Segura de la Sierra;;1.475;0;1.475;970;24;11;505;946;935;0;127;167;86;0;486;1;6;4;48;1;1;2;3;3;0;0
23;82;Siles;;1.873;0;1.873;1.200;14;11;673;1.186;1.175;1;112;407;88;1;518;0;7;0;36;1;2;1;0;1;0;0
23;84;Sorihuela del Guadalimar;;903;0;903;557;15;2;346;542;540;0;33;110;24;0;279;0;1;1;82;2;3;0;0;4;1;0
23;85;Torreblascopedro;;2.178;0;2.178;1.463;21;14;715;1.442;1.428;0;143;245;110;1;803;0;5;1;57;56;0;6;1;0;0;0
23;86;Torredelcampo;;11.431;0;11.431;6.710;236;122;4.721;6.474;6.352;8;1.075;1.090;796;11;2.764;5;113;8;372;20;21;13;9;14;1;32
23;87;Torredonjimeno;;11.180;0;11.180;7.275;199;106;3.905;7.076;6.970;0;1.072;1.759;1.598;11;1.915;4;112;4;415;4;29;20;4;11;9;3
23;88;Torreperogil;;6.001;0;6.001;3.823;117;73;2.178;3.706;3.633;3;408;636;962;6;1.331;3;54;3;169;6;21;11;2;13;1;4
23;90;Torres;;1.230;0;1.230;916;19;5;314;897;892;0;78;328;43;1;374;2;5;0;55;2;1;1;0;2;0;0
23;91;Torres de Albánchez;;683;0;683;440;3;2;243;437;435;0;25;162;13;1;214;0;1;0;17;1;0;1;0;0;0;0
23;92;Úbeda;;27.729;3;27.732;17.003;346;275;10.729;16.657;16.382;12;3.137;4.002;2.296;56;4.899;20;231;26;1.464;61;36;50;13;43;17;19
23;93;Valdepeñas de Jaén;;3.157;0;3.157;2.029;69;34;1.128;1.960;1.926;1;157;281;163;3;1.188;1;38;5;76;3;1;2;0;4;0;3
23;94;Vilches;;3.750;0;3.750;2.646;60;38;1.104;2.586;2.548;5;285;345;590;2;1.096;5;31;4;157;4;9;5;3;7;0;0
23;95;Villacarrillo;;8.586;0;8.586;5.286;77;38;3.300;5.209;5.171;1;604;1.641;371;6;1.924;2;35;3;547;0;8;12;3;10;1;3
23;96;Villanueva de la Reina;;2.579;0;2.579;1.862;54;23;717;1.808;1.785;0;213;268;254;1;977;1;13;4;41;2;0;5;1;3;0;2
23;97;Villanueva del Arzobispo;;6.344;0;6.344;3.454;48;26;2.890;3.406;3.380;4;596;719;217;7;1.135;18;27;10;611;7;2;12;2;9;3;1
23;98;Villardompardo;;834;0;834;659;12;3;175;647;644;1;52;195;34;0;313;0;9;0;38;0;0;0;0;0;0;2
23;101;Villarrodrigo;;354;0;354;216;3;0;138;213;213;0;20;36;10;0;141;0;0;0;4;0;0;0;0;2;0;0
23;903;Villatorres;;3.489;0;3.489;2.273;28;16;1.216;2.245;2.229;2;250;638;341;2;823;1;8;0;143;7;3;0;1;7;1;2
23;990;Residentes Ausentes Jaén;;12.437;0;12.437;408;1;4;12.029;407;403;1;79;73;116;5;78;1;11;2;21;1;3;1;6;3;1;1
Total;;;;526.702;16;526.718;325.857;8.228;4.046;200.861;317.629;313.583;228;50.646;73.587;38.597;697;112.423;306;4.103;965;27.676;957;597;1.034;360;847;191;369
